"country","month","year","local.cases","local.pop","travel.cases","travel.pop"
"Dominican Rep",3,2016,677,10648791,7,36565
"Ecuador",3,2016,26,16385068,0,32982
"El Salvador",3,2016,299,6344722,0,4357
"French Guiana",3,2016,1728,283000,NA,137
"Grenada",3,2016,0,107317,0,1480
"Guadeloupe",3,2016,439,450000,0,566
"Guatemala",3,2016,184,16582469,0,9872
"Guyana",3,2016,5,773303,2,3367
"Haiti",3,2016,403,10847334,5,26286
"Honduras",3,2016,1654,9112867,2,10869
"Jamaica",3,2016,305,2881355,0,33259
"Martinique",3,2016,5631,385000,1,756
"Mexico",3,2016,39,127540423,0,102271
"Nicaragua",3,2016,80,6149928,0,13583
"Panama",3,2016,257,4034119,0,13269
"Paraguay",3,2016,158,6725308,NA,2573
"Peru",3,2016,9,31773839,NA,24400
"Puerto Rico",3,2016,335,3411307,0,86893
"St Barthelemy",3,2016,2,9278,0,12
"St Kitts-Nevis",3,2016,0,54821,NA,2707
"St Lucia",3,2016,0,178015,0,1907
"St Maarten (Dutch Part)",3,2016,49,40005,NA,6235
"St Vincent-Grenad",3,2016,6,109643,NA,48
"Suriname",3,2016,298,558368,1,2427
"Trinidad-Tobago",3,2016,12,1364962,0,12938
"Turks-Caicos",3,2016,7,34900,NA,5680
"Uruguay",3,2016,NA,3444006,NA,5908
"Venezuela",3,2016,7573,31568179,4,41514
"Virgin Islands (GB)",3,2016,0,30661,0,747
"Virgin Islands (US)",3,2016,59,102951,0,11567
"Anguilla",4,2016,0,15000,0,44
"Antigua-Barbuda",4,2016,1,100963,0,1528
"Argentina",4,2016,14,43847430,NA,49160
"Aruba",4,2016,4,104822,NA,6962
"Bahamas",4,2016,20,391232,0,45968
"Barbados",4,2016,31,284996,0,5120
"Belize",4,2016,13,366954,0,2936
"Bermuda",4,2016,NA,65331,NA,2205
"Bolivia",4,2016,234,10887882,3,6897
"Bonaire, Saint Eustatius and Saba",4,2016,NA,25000,3,598
"Brazil",4,2016,37077,207652865,1,73852
"Canada",4,2016,NA,36286425,NA,214870
"Cayman Islands",4,2016,5,60765,0,11486
"Chile",4,2016,NA,17909754,NA,14550
"Colombia",4,2016,12502,48653419,6,60052
"Costa Rica",4,2016,13,4857274,0,21481
"Cuba",4,2016,0,11475982,0,37683
"Curacao",4,2016,203,159999,0,4738
"Dominica",4,2016,191,73543,0,299
"Dominican Rep",4,2016,1216,10648791,13,33703
"Ecuador",4,2016,45,16385068,0,29246
"El Salvador",4,2016,246,6344722,1,3032
"French Guiana",4,2016,1741,283000,NA,297
"Grenada",4,2016,0,107317,0,1723
"Guadeloupe",4,2016,1899,450000,0,798
"Guatemala",4,2016,215,16582469,0,8550
"Guyana",4,2016,2,773303,0,3472
"Haiti",4,2016,351,10847334,2,26087
"Honduras",4,2016,1766,9112867,0,9644
"Jamaica",4,2016,351,2881355,0,29903
"Martinique",4,2016,6179,385000,0,447
"Mexico",4,2016,84,127540423,0,78732
"Nicaragua",4,2016,104,6149928,1,11716
"Panama",4,2016,238,4034119,0,10527
"Paraguay",4,2016,29,6725308,NA,3025
"Peru",4,2016,10,31773839,NA,23046
"Puerto Rico",4,2016,489,3411307,2,84641
"St Barthelemy",4,2016,0,9278,0,9
"St Kitts-Nevis",4,2016,0,54821,NA,2478
"St Lucia",4,2016,0,178015,0,1564
"St Maarten (Dutch Part)",4,2016,95,40005,NA,5308
"St Vincent-Grenad",4,2016,9,109643,NA,51
"Suriname",4,2016,80,558368,0,2030
"Trinidad-Tobago",4,2016,10,1364962,0,11612
"Turks-Caicos",4,2016,2,34900,NA,5239
"Uruguay",4,2016,NA,3444006,NA,4904
"Venezuela",4,2016,5718,31568179,1,43168
"Virgin Islands (GB)",4,2016,0,30661,0,523
"Virgin Islands (US)",4,2016,42,102951,0,11419
"Anguilla",5,2016,1,15000,0,65
"Antigua-Barbuda",5,2016,14,100963,0,1431
"Argentina",5,2016,46,43847430,NA,52925
"Aruba",5,2016,1,104822,NA,6603
"Bahamas",5,2016,22,391232,0,46190
"Barbados",5,2016,31,284996,0,6812
"Belize",5,2016,47,366954,0,2445
"Bermuda",5,2016,NA,65331,NA,2500
"Bolivia",5,2016,84,10887882,0,7224
"Bonaire, Saint Eustatius and Saba",5,2016,NA,25000,0,695
"Brazil",5,2016,21192,207652865,0,74813
"Canada",5,2016,NA,36286425,NA,123881
"Cayman Islands",5,2016,5,60765,0,9049
"Chile",5,2016,NA,17909754,NA,15837
"Colombia",5,2016,12285,48653419,2,70100
"Costa Rica",5,2016,238,4857274,0,21822
"Cuba",5,2016,0,11475982,0,37201
"Curacao",5,2016,214,159999,0,3942
"Dominica",5,2016,315,73543,0,361
"Dominican Rep",5,2016,1442,10648791,20,37573
"Ecuador",5,2016,665,16385068,1,22753
"El Salvador",5,2016,310,6344722,0,4285
"French Guiana",5,2016,2196,283000,NA,192
"Grenada",5,2016,8,107317,0,2099
"Guadeloupe",5,2016,7204,450000,0,357
"Guatemala",5,2016,426,16582469,0,9815
"Guyana",5,2016,7,773303,0,3324
"Haiti",5,2016,175,10847334,2,24319
"Honduras",5,2016,3374,9112867,2,11387
"Jamaica",5,2016,1276,2881355,4,34223
"Martinique",5,2016,6246,385000,2,414
"Mexico",5,2016,301,127540423,1,90265
"Nicaragua",5,2016,227,6149928,3,11902
"Panama",5,2016,465,4034119,0,10337
"Paraguay",5,2016,3,6725308,NA,2908
"Peru",5,2016,43,31773839,NA,27686
"Puerto Rico",5,2016,1982,3411307,7,102070
"St Barthelemy",5,2016,38,9278,0,NA
"St Kitts-Nevis",5,2016,0,54821,NA,1909
"St Lucia",5,2016,0,178015,0,1897
"St Maarten (Dutch Part)",5,2016,471,40005,NA,5187
"St Vincent-Grenad",5,2016,57,109643,NA,68
"Suriname",5,2016,39,558368,0,1798
"Trinidad-Tobago",5,2016,59,1364962,0,13476
"Turks-Caicos",5,2016,2,34900,NA,4829
"Uruguay",5,2016,NA,3444006,NA,5193
"Venezuela",5,2016,6518,31568179,3,44530
"Virgin Islands (GB)",5,2016,0,30661,0,511
"Virgin Islands (US)",5,2016,81,102951,0,12801
"Anguilla",6,2016,1,15000,1,122
"Antigua-Barbuda",6,2016,14,100963,0,1285
"Argentina",6,2016,7,43847430,NA,42490
"Aruba",6,2016,7,104822,NA,6701
"Bahamas",6,2016,17,391232,0,48298
