"country","month","year","local.cases","local.pop","travel.cases","travel.pop"
"Turks-Caicos",12,2016,4,34900,NA,5967
"Uruguay",12,2016,NA,3444006,NA,4001
"Venezuela",12,2016,102,31568179,0,50269
"Virgin Islands (GB)",12,2016,0,30661,0,441
"Virgin Islands (US)",12,2016,107,102951,0,9515
"Anguilla",1,2017,9,15000,NA,57
"Antigua-Barbuda",1,2017,0,100963,NA,1738
"Argentina",1,2017,5,43847430,NA,57242
"Aruba",1,2017,97,104822,NA,9384
"Bahamas",1,2017,12,391232,NA,43907
"Barbados",1,2017,10,284996,1,6584
"Belize",1,2017,174,366954,NA,1950
"Bermuda",1,2017,NA,65331,NA,NA
"Bolivia",1,2017,386,10887882,0,7267
"Bonaire, Saint Eustatius and Saba",1,2017,NA,25000,NA,330
"Brazil",1,2017,4422,207652865,NA,123397
"Canada",1,2017,NA,36286425,NA,NA
"Cayman Islands",1,2017,5,60765,NA,8883
"Chile",1,2017,NA,17909754,NA,18240
"Colombia",1,2017,371,48653419,NA,68934
"Costa Rica",1,2017,409,4857274,1,30295
"Cuba",1,2017,0,11475982,3,100269
"Curacao",1,2017,267,159999,3,4848
"Dominica",1,2017,0,73543,NA,427
"Dominican Rep",1,2017,4,10648791,0,42273
"Ecuador",1,2017,109,16385068,0,17382
"El Salvador",1,2017,73,6344722,NA,267
"French Guiana",1,2017,129,283000,NA,128
"Grenada",1,2017,1,107317,NA,1697
"Guadeloupe",1,2017,16,450000,NA,1258
"Guatemala",1,2017,104,16582469,NA,9081
"Guyana",1,2017,NA,773303,NA,3411
"Haiti",1,2017,NA,10847334,0,28516
"Honduras",1,2017,53,9112867,NA,10803
"Jamaica",1,2017,60,2881355,0,33636
"Martinique",1,2017,37,385000,NA,582
"Mexico",1,2017,71,127540423,0,97957
"Nicaragua",1,2017,129,6149928,NA,15481
"Panama",1,2017,764,4034119,1,13044
"Paraguay",1,2017,28,6725308,NA,3856
"Peru",1,2017,525,31773839,NA,22820
"Puerto Rico",1,2017,614,3411307,2,102290
"St Barthelemy",1,2017,12,9278,NA,8
"St Kitts-Nevis",1,2017,0,54821,NA,2794
"St Lucia",1,2017,0,178015,NA,2135
"St Maarten (Dutch Part)",1,2017,59,40005,NA,5541
"St Vincent-Grenad",1,2017,NA,109643,NA,206
"Suriname",1,2017,4,558368,NA,1473
"Trinidad-Tobago",1,2017,1,1364962,NA,11333
"Turks-Caicos",1,2017,8,34900,NA,5852
"Uruguay",1,2017,NA,3444006,NA,7418
"Venezuela",1,2017,223,31568179,NA,28366
"Virgin Islands (GB)",1,2017,0,30661,NA,544
"Virgin Islands (US)",1,2017,61,102951,NA,10400
"Anguilla",2,2017,0,15000,NA,58
"Antigua-Barbuda",2,2017,0,100963,NA,1455
"Argentina",2,2017,66,43847430,NA,56596
"Aruba",2,2017,281,104822,NA,7948
"Bahamas",2,2017,0,391232,NA,38612
"Barbados",2,2017,8,284996,0,6109
"Belize",2,2017,278,366954,NA,1692
"Bermuda",2,2017,NA,65331,NA,NA
"Bolivia",2,2017,586,10887882,0,5836
"Bonaire, Saint Eustatius and Saba",2,2017,NA,25000,NA,476
"Brazil",2,2017,3761,207652865,NA,82576
"Canada",2,2017,NA,36286425,NA,NA
"Cayman Islands",2,2017,4,60765,NA,8697
"Chile",2,2017,NA,17909754,NA,20128
"Colombia",2,2017,302,48653419,NA,50615
"Costa Rica",2,2017,164,4857274,0,19216
"Cuba",2,2017,0,11475982,1,70922
"Curacao",2,2017,83,159999,0,3835
"Dominica",2,2017,0,73543,NA,283
"Dominican Rep",2,2017,6,10648791,0,33464
"Ecuador",2,2017,182,16385068,1,26005
"El Salvador",2,2017,42,6344722,NA,111
"French Guiana",2,2017,87,283000,NA,192
"Grenada",2,2017,4,107317,NA,1214
"Guadeloupe",2,2017,5,450000,NA,1590
"Guatemala",2,2017,77,16582469,NA,6797
"Guyana",2,2017,NA,773303,NA,2713
"Haiti",2,2017,NA,10847334,0,21974
"Honduras",2,2017,54,9112867,NA,8432
"Jamaica",2,2017,41,2881355,0,25424
"Martinique",2,2017,4,385000,NA,620
"Mexico",2,2017,27,127540423,0,71710
"Nicaragua",2,2017,86,6149928,NA,9692
"Panama",2,2017,263,4034119,0,14038
"Paraguay",2,2017,13,6725308,NA,2689
"Peru",2,2017,168,31773839,NA,21449
"Puerto Rico",2,2017,329,3411307,0,80084
"St Barthelemy",2,2017,2,9278,NA,2
"St Kitts-Nevis",2,2017,0,54821,NA,1848
"St Lucia",2,2017,0,178015,NA,1598
"St Maarten (Dutch Part)",2,2017,43,40005,NA,5448
"St Vincent-Grenad",2,2017,NA,109643,NA,184
"Suriname",2,2017,1,558368,NA,1485
"Trinidad-Tobago",2,2017,0,1364962,NA,10650
"Turks-Caicos",2,2017,11,34900,NA,4976
"Uruguay",2,2017,NA,3444006,NA,4974
"Venezuela",2,2017,102,31568179,NA,23303
"Virgin Islands (GB)",2,2017,0,30661,NA,405
"Virgin Islands (US)",2,2017,32,102951,NA,9504
"Anguilla",3,2017,2,15000,NA,67
"Antigua-Barbuda",3,2017,0,100963,NA,1665
"Argentina",3,2017,187,43847430,NA,54231
"Aruba",3,2017,196,104822,NA,9253
"Bahamas",3,2017,22,391232,NA,49676
"Barbados",3,2017,7,284996,0,6485
"Belize",3,2017,168,366954,NA,2642
"Bermuda",3,2017,NA,65331,NA,NA
"Bolivia",3,2017,589,10887882,1,6042
"Bonaire, Saint Eustatius and Saba",3,2017,NA,25000,NA,753
"Brazil",3,2017,3906,207652865,NA,69372
"Canada",3,2017,NA,36286425,NA,NA
"Cayman Islands",3,2017,4,60765,NA,9843
"Chile",3,2017,NA,17909754,NA,14213
"Colombia",3,2017,225,48653419,NA,65549
"Costa Rica",3,2017,138,4857274,0,26488
"Cuba",3,2017,0,11475982,0,90562
"Curacao",3,2017,54,159999,0,4684
"Dominica",3,2017,0,73543,NA,421
"Dominican Rep",3,2017,5,10648791,0,42385
"Ecuador",3,2017,495,16385068,0,32549
"El Salvador",3,2017,19,6344722,NA,722
"French Guiana",3,2017,53,283000,NA,150
"Grenada",3,2017,3,107317,NA,1600
"Guadeloupe",3,2017,5,450000,NA,1740
"Guatemala",3,2017,37,16582469,NA,8135
"Guyana",3,2017,NA,773303,NA,3453
"Haiti",3,2017,NA,10847334,0,24453
"Honduras",3,2017,37,9112867,NA,10186
"Jamaica",3,2017,35,2881355,0,33762
"Martinique",3,2017,6,385000,NA,455
"Mexico",3,2017,29,127540423,0,92352
"Nicaragua",3,2017,68,6149928,NA,10759
"Panama",3,2017,146,4034119,0,10347
"Paraguay",3,2017,12,6725308,NA,2917
"Peru",3,2017,1992,31773839,NA,19822
"Puerto Rico",3,2017,349,3411307,0,98410
"St Barthelemy",3,2017,1,9278,NA,9
"St Kitts-Nevis",3,2017,1,54821,NA,1975
"St Lucia",3,2017,0,178015,NA,1964
"St Maarten (Dutch Part)",3,2017,23,40005,NA,6563
"St Vincent-Grenad",3,2017,NA,109643,NA,166
"Suriname",3,2017,1,558368,NA,1479
"Trinidad-Tobago",3,2017,0,1364962,NA,14333
"Turks-Caicos",3,2017,5,34900,NA,4179
"Uruguay",3,2017,NA,3444006,NA,4478
"Venezuela",3,2017,75,31568179,NA,29241
"Virgin Islands (GB)",3,2017,0,30661,NA,520
"Virgin Islands (US)",3,2017,35,102951,NA,11604
"Anguilla",4,2017,0,15000,NA,55
"Antigua-Barbuda",4,2017,0,100963,NA,1597
"Argentina",4,2017,314,43847430,NA,56549
"Aruba",4,2017,71,104822,NA,9763
"Bahamas",4,2017,23,391232,NA,51346
"Barbados",4,2017,3,284996,0,7610
"Belize",4,2017,128,366954,NA,2525
"Bermuda",4,2017,NA,65331,NA,NA
"Bolivia",4,2017,435,10887882,0,6343
"Bonaire, Saint Eustatius and Saba",4,2017,NA,25000,NA,658
"Brazil",4,2017,3833,207652865,NA,79588
"Canada",4,2017,NA,36286425,NA,NA
"Cayman Islands",4,2017,5,60765,NA,10836
"Chile",4,2017,NA,17909754,NA,12055
"Colombia",4,2017,238,48653419,NA,67349
"Costa Rica",4,2017,122,4857274,0,22987
"Cuba",4,2017,0,11475982,2,91273
"Curacao",4,2017,35,159999,0,4751
"Dominica",4,2017,0,73543,NA,403
"Dominican Rep",4,2017,0,10648791,0,39815
"Ecuador",4,2017,881,16385068,1,28489
"El Salvador",4,2017,31,6344722,NA,240
"French Guiana",4,2017,60,283000,NA,287
"Grenada",4,2017,0,107317,NA,1563
"Guadeloupe",4,2017,0,450000,NA,2415
"Guatemala",4,2017,34,16582469,NA,9721
"Guyana",4,2017,NA,773303,NA,4203
"Haiti",4,2017,NA,10847334,0,26676
"Honduras",4,2017,21,9112867,NA,12178
"Jamaica",4,2017,46,2881355,1,36163
"Martinique",4,2017,5,385000,NA,504
"Mexico",4,2017,55,127540423,0,88808
"Nicaragua",4,2017,105,6149928,NA,12648
"Panama",4,2017,155,4034119,0,10322
"Paraguay",4,2017,11,6725308,NA,5016
"Peru",4,2017,2077,31773839,NA,18743
"Puerto Rico",4,2017,301,3411307,0,96969
"St Barthelemy",4,2017,0,9278,NA,NA
"St Kitts-Nevis",4,2017,3,54821,NA,2369
"St Lucia",4,2017,0,178015,NA,2056
"St Maarten (Dutch Part)",4,2017,5,40005,NA,6525
"St Vincent-Grenad",4,2017,NA,109643,NA,77
"Suriname",4,2017,0,558368,NA,1897
"Trinidad-Tobago",4,2017,0,1364962,NA,14517
"Turks-Caicos",4,2017,2,34900,NA,3735
"Uruguay",4,2017,NA,3444006,NA,5888
"Venezuela",4,2017,50,31568179,NA,29823
"Virgin Islands (GB)",4,2017,0,30661,NA,507
"Virgin Islands (US)",4,2017,31,102951,NA,11799
"Anguilla",5,2017,2,15000,NA,32
"Antigua-Barbuda",5,2017,2,100963,NA,1587
"Argentina",5,2017,64,43847430,NA,57618
"Aruba",5,2017,25,104822,NA,9334
"Bahamas",5,2017,7,391232,NA,56962
"Barbados",5,2017,1,284996,0,6228
"Belize",5,2017,137,366954,NA,2164
"Bermuda",5,2017,NA,65331,NA,NA
"Bolivia",5,2017,171,10887882,0,5621
"Bonaire, Saint Eustatius and Saba",5,2017,NA,25000,NA,660
"Brazil",5,2017,1042,207652865,NA,71118
"Canada",5,2017,NA,36286425,NA,NA
"Cayman Islands",5,2017,1,60765,NA,11332
"Chile",5,2017,NA,17909754,NA,13338
"Colombia",5,2017,178,48653419,NA,66657
"Costa Rica",5,2017,140,4857274,0,20488
"Cuba",5,2017,0,11475982,0,86340
"Curacao",5,2017,26,159999,0,3887
"Dominica",5,2017,0,73543,NA,266
"Dominican Rep",5,2017,0,10648791,1,38298
"Ecuador",5,2017,837,16385068,1,20209
"El Salvador",5,2017,33,6344722,NA,473
"French Guiana",5,2017,71,283000,NA,175
"Grenada",5,2017,0,107317,NA,2062
"Guadeloupe",5,2017,6,450000,NA,476
"Guatemala",5,2017,59,16582469,NA,7853
"Guyana",5,2017,NA,773303,NA,3437
"Haiti",5,2017,NA,10847334,1,25121
"Honduras",5,2017,65,9112867,NA,10894
"Jamaica",5,2017,44,2881355,0,33788
"Martinique",5,2017,10,385000,NA,590
"Mexico",5,2017,85,127540423,0,79081
"Nicaragua",5,2017,61,6149928,NA,10917
"Panama",5,2017,123,4034119,0,9229
"Paraguay",5,2017,4,6725308,NA,2853
"Peru",5,2017,855,31773839,NA,23214
"Puerto Rico",5,2017,200,3411307,0,109015
"St Barthelemy",5,2017,0,9278,NA,4
"St Kitts-Nevis",5,2017,0,54821,NA,1689
"St Lucia",5,2017,0,178015,NA,2081
"St Maarten (Dutch Part)",5,2017,6,40005,NA,5757
"St Vincent-Grenad",5,2017,NA,109643,NA,84
"Suriname",5,2017,0,558368,NA,1261
"Trinidad-Tobago",5,2017,0,1364962,NA,12990
"Turks-Caicos",5,2017,2,34900,NA,4458
"Uruguay",5,2017,NA,3444006,NA,4526
"Venezuela",5,2017,0,31568179,NA,27994
"Virgin Islands (GB)",5,2017,0,30661,NA,534
"Virgin Islands (US)",5,2017,16,102951,NA,12477
"Anguilla",6,2017,0,15000,NA,97
"Antigua-Barbuda",6,2017,0,100963,NA,1842
"Argentina",6,2017,31,43847430,NA,48031
"Aruba",6,2017,1,104822,NA,9105
"Bahamas",6,2017,9,391232,NA,56707
"Barbados",6,2017,0,284996,0,5715
"Belize",6,2017,141,366954,NA,3240
"Bermuda",6,2017,NA,65331,NA,NA
"Bolivia",6,2017,10,10887882,0,7279
"Bonaire, Saint Eustatius and Saba",6,2017,NA,25000,NA,512
"Brazil",6,2017,NA,207652865,NA,78465
"Canada",6,2017,NA,36286425,NA,NA
"Cayman Islands",6,2017,1,60765,NA,12721
"Chile",6,2017,NA,17909754,NA,12327
"Colombia",6,2017,172,48653419,NA,83247
"Costa Rica",6,2017,261,4857274,0,19810
"Cuba",6,2017,0,11475982,2,80148
"Curacao",6,2017,NA,159999,0,3993
"Dominica",6,2017,0,73543,NA,281
"Dominican Rep",6,2017,8,10648791,0,47337
"Ecuador",6,2017,510,16385068,0,17479
"El Salvador",6,2017,30,6344722,NA,578
"French Guiana",6,2017,45,283000,NA,253
"Grenada",6,2017,NA,107317,NA,1469
"Guadeloupe",6,2017,0,450000,NA,567
"Guatemala",6,2017,26,16582469,NA,10710
"Guyana",6,2017,NA,773303,NA,3275
"Haiti",6,2017,NA,10847334,0,25422
"Honduras",6,2017,47,9112867,NA,12940
"Jamaica",6,2017,29,2881355,0,36866
"Martinique",6,2017,12,385000,NA,297
"Mexico",6,2017,201,127540423,0,84912
"Nicaragua",6,2017,65,6149928,NA,12905
"Panama",6,2017,309,4034119,0,9802
"Paraguay",6,2017,3,6725308,NA,3396
"Peru",6,2017,306,31773839,NA,21067
"Puerto Rico",6,2017,135,3411307,0,126717
"St Barthelemy",6,2017,0,9278,NA,13
"St Kitts-Nevis",6,2017,NA,54821,NA,1979
"St Lucia",6,2017,NA,178015,NA,2042
"St Maarten (Dutch Part)",6,2017,NA,40005,NA,5949
"St Vincent-Grenad",6,2017,NA,109643,NA,67
"Suriname",6,2017,NA,558368,NA,1615
"Trinidad-Tobago",6,2017,0,1364962,NA,13049
"Turks-Caicos",6,2017,0,34900,NA,4959
"Uruguay",6,2017,NA,3444006,NA,5233
"Venezuela",6,2017,0,31568179,NA,29448
"Virgin Islands (GB)",6,2017,NA,30661,NA,443
"Virgin Islands (US)",6,2017,18,102951,NA,12534
"Anguilla",7,2017,1,15000,NA,189
"Antigua-Barbuda",7,2017,1,100963,NA,1736
"Argentina",7,2017,4,43847430,NA,65131
"Aruba",7,2017,NA,104822,NA,14191
"Bahamas",7,2017,8,391232,NA,75745
"Barbados",7,2017,0,284996,0,6225
"Belize",7,2017,188,366954,NA,3878
"Bermuda",7,2017,NA,65331,NA,NA
"Bolivia",7,2017,NA,10887882,0,5963
"Bonaire, Saint Eustatius and Saba",7,2017,NA,25000,NA,429
"Brazil",7,2017,NA,207652865,NA,92255
"Canada",7,2017,NA,36286425,NA,NA
"Cayman Islands",7,2017,1,60765,NA,15852
"Chile",7,2017,NA,17909754,NA,17610
"Colombia",7,2017,159,48653419,NA,75110
"Costa Rica",7,2017,459,4857274,0,23606
"Cuba",7,2017,0,11475982,18,94104
"Curacao",7,2017,NA,159999,0,5861
"Dominica",7,2017,0,73543,NA,286
"Dominican Rep",7,2017,2,10648791,0,56200
"Ecuador",7,2017,223,16385068,0,21865
"El Salvador",7,2017,24,6344722,NA,146
"French Guiana",7,2017,62,283000,NA,148
"Grenada",7,2017,NA,107317,NA,1408
"Guadeloupe",7,2017,0,450000,NA,1367
"Guatemala",7,2017,41,16582469,NA,9988
"Guyana",7,2017,NA,773303,NA,4646
"Haiti",7,2017,NA,10847334,0,34151
"Honduras",7,2017,69,9112867,NA,14463
"Jamaica",7,2017,15,2881355,0,49250
"Martinique",7,2017,0,385000,NA,1511
"Mexico",7,2017,164,127540423,2,116393
"Nicaragua",7,2017,89,6149928,NA,15027
"Panama",7,2017,192,4034119,0,11674
"Paraguay",7,2017,4,6725308,NA,5879
"Peru",7,2017,87,31773839,NA,28485
"Puerto Rico",7,2017,151,3411307,0,104569
"St Barthelemy",7,2017,NA,9278,NA,1
"St Kitts-Nevis",7,2017,NA,54821,NA,2644
"St Lucia",7,2017,NA,178015,NA,2534
"St Maarten (Dutch Part)",7,2017,NA,40005,NA,7745
"St Vincent-Grenad",7,2017,NA,109643,NA,174
"Suriname",7,2017,NA,558368,NA,1441
"Trinidad-Tobago",7,2017,0,1364962,NA,15912
"Turks-Caicos",7,2017,0,34900,NA,9294
"Uruguay",7,2017,NA,3444006,NA,6088
"Venezuela",7,2017,0,31568179,NA,36701
"Virgin Islands (GB)",7,2017,NA,30661,NA,486
"Virgin Islands (US)",7,2017,6,102951,NA,12202
"Anguilla",8,2017,0,15000,NA,142
"Antigua-Barbuda",8,2017,NA,100963,NA,2802
"Argentina",8,2017,14,43847430,NA,51463
"Aruba",8,2017,NA,104822,NA,13048
"Bahamas",8,2017,NA,391232,NA,68343
"Barbados",8,2017,0,284996,0,7551
"Belize",8,2017,4,366954,NA,4082
"Bermuda",8,2017,NA,65331,NA,NA
"Bolivia",8,2017,NA,10887882,0,6258
"Bonaire, Saint Eustatius and Saba",8,2017,NA,25000,NA,324
"Brazil",8,2017,NA,207652865,NA,83563
"Canada",8,2017,NA,36286425,NA,NA
"Cayman Islands",8,2017,0,60765,NA,15322
"Chile",8,2017,NA,17909754,NA,12163
"Colombia",8,2017,NA,48653419,NA,77304
"Costa Rica",8,2017,271,4857274,0,22548
"Cuba",8,2017,0,11475982,23,95882
"Curacao",8,2017,NA,159999,0,4107
"Dominica",8,2017,NA,73543,NA,394
"Dominican Rep",8,2017,NA,10648791,0,51823
"Ecuador",8,2017,NA,16385068,0,30372
"El Salvador",8,2017,9,6344722,NA,307
"French Guiana",8,2017,20,283000,NA,119
"Grenada",8,2017,NA,107317,NA,2118
"Guadeloupe",8,2017,NA,450000,NA,871
"Guatemala",8,2017,NA,16582469,NA,8860
"Guyana",8,2017,NA,773303,NA,4757
"Haiti",8,2017,NA,10847334,0,36523
"Honduras",8,2017,11,9112867,NA,12961
"Jamaica",8,2017,NA,2881355,0,45427
"Martinique",8,2017,NA,385000,NA,767
"Mexico",8,2017,NA,127540423,1,93557
"Nicaragua",8,2017,72,6149928,NA,15728
"Panama",8,2017,NA,4034119,0,11945
"Paraguay",8,2017,6,6725308,NA,4543
"Peru",8,2017,NA,31773839,NA,24964
"Puerto Rico",8,2017,117,3411307,1,115842
"St Barthelemy",8,2017,NA,9278,NA,9
"St Kitts-Nevis",8,2017,NA,54821,NA,3251
"St Lucia",8,2017,NA,178015,NA,2298
"St Maarten (Dutch Part)",8,2017,NA,40005,NA,6856
"St Vincent-Grenad",8,2017,NA,109643,NA,93
"Suriname",8,2017,NA,558368,NA,2424
"Trinidad-Tobago",8,2017,0,1364962,NA,16089
"Turks-Caicos",8,2017,0,34900,NA,8364
"Uruguay",8,2017,NA,3444006,NA,4703
"Venezuela",8,2017,NA,31568179,NA,36573
"Virgin Islands (GB)",8,2017,NA,30661,NA,461
"Virgin Islands (US)",8,2017,0,102951,NA,12748
"Anguilla",9,2017,NA,15000,NA,19
"Antigua-Barbuda",9,2017,NA,100963,NA,764
"Argentina",9,2017,NA,43847430,NA,49943
"Aruba",9,2017,NA,104822,NA,9103
"Bahamas",9,2017,NA,391232,NA,34882
"Barbados",9,2017,NA,284996,0,3955
"Belize",9,2017,NA,366954,NA,2908
"Bermuda",9,2017,NA,65331,NA,NA
"Bolivia",9,2017,NA,10887882,0,4997
"Bonaire, Saint Eustatius and Saba",9,2017,NA,25000,NA,194
"Brazil",9,2017,NA,207652865,NA,80505
"Canada",9,2017,NA,36286425,NA,NA
"Cayman Islands",9,2017,NA,60765,NA,9622
"Chile",9,2017,NA,17909754,NA,13436
"Colombia",9,2017,NA,48653419,NA,57700
"Costa Rica",9,2017,NA,4857274,0,19089
"Cuba",9,2017,NA,11475982,16,58829
"Curacao",9,2017,NA,159999,0,2807
"Dominica",9,2017,NA,73543,NA,164
"Dominican Rep",9,2017,NA,10648791,0,32281
"Ecuador",9,2017,NA,16385068,0,26539
"El Salvador",9,2017,NA,6344722,NA,1262
"French Guiana",9,2017,10,283000,NA,126
"Grenada",9,2017,NA,107317,NA,1204
"Guadeloupe",9,2017,NA,450000,NA,218
"Guatemala",9,2017,NA,16582469,NA,6235
"Guyana",9,2017,NA,773303,NA,2450
"Haiti",9,2017,NA,10847334,0,21644
"Honduras",9,2017,NA,9112867,NA,10390
"Jamaica",9,2017,NA,2881355,0,24927
"Martinique",9,2017,NA,385000,NA,239
"Mexico",9,2017,NA,127540423,0,70833
"Nicaragua",9,2017,NA,6149928,NA,10402
"Panama",9,2017,NA,4034119,0,9689
"Paraguay",9,2017,NA,6725308,NA,3442
"Peru",9,2017,NA,31773839,NA,18815
"Puerto Rico",9,2017,NA,3411307,0,111784
"St Barthelemy",9,2017,NA,9278,NA,5
"St Kitts-Nevis",9,2017,NA,54821,NA,1057
"St Lucia",9,2017,NA,178015,NA,1181
"St Maarten (Dutch Part)",9,2017,NA,40005,NA,4611
"St Vincent-Grenad",9,2017,NA,109643,NA,352
"Suriname",9,2017,NA,558368,NA,2913
"Trinidad-Tobago",9,2017,NA,1364962,NA,8410
"Turks-Caicos",9,2017,NA,34900,NA,3108
"Uruguay",9,2017,NA,3444006,NA,5775
"Venezuela",9,2017,NA,31568179,NA,25354
"Virgin Islands (GB)",9,2017,NA,30661,NA,142
"Virgin Islands (US)",9,2017,NA,102951,NA,10964
"Anguilla",10,2017,NA,15000,NA,15
"Antigua-Barbuda",10,2017,NA,100963,NA,1360
"Argentina",10,2017,NA,43847430,NA,44333
"Aruba",10,2017,NA,104822,NA,9213
"Bahamas",10,2017,NA,391232,NA,35630
"Barbados",10,2017,NA,284996,0,6406
"Belize",10,2017,NA,366954,NA,3617
"Bermuda",10,2017,NA,65331,NA,NA
"Bolivia",10,2017,NA,10887882,0,5649
"Bonaire, Saint Eustatius and Saba",10,2017,NA,25000,NA,112
"Brazil",10,2017,NA,207652865,NA,97749
"Canada",10,2017,NA,36286425,NA,NA
"Cayman Islands",10,2017,NA,60765,NA,12219
"Chile",10,2017,NA,17909754,NA,13469
"Colombia",10,2017,NA,48653419,NA,64689
"Costa Rica",10,2017,NA,4857274,0,19948
"Cuba",10,2017,NA,11475982,9,70918
"Curacao",10,2017,NA,159999,0,4683
"Dominica",10,2017,NA,73543,NA,130
"Dominican Rep",10,2017,NA,10648791,0,38459
"Ecuador",10,2017,NA,16385068,0,25319
"El Salvador",10,2017,NA,6344722,NA,227
"French Guiana",10,2017,NA,283000,NA,307
"Grenada",10,2017,NA,107317,NA,1817
"Guadeloupe",10,2017,NA,450000,NA,844
"Guatemala",10,2017,NA,16582469,NA,9674
"Guyana",10,2017,NA,773303,NA,3045
"Haiti",10,2017,NA,10847334,0,23670
"Honduras",10,2017,NA,9112867,NA,10987
"Jamaica",10,2017,NA,2881355,0,29988
"Martinique",10,2017,NA,385000,NA,677
"Mexico",10,2017,NA,127540423,0,79378
"Nicaragua",10,2017,NA,6149928,NA,10533
"Panama",10,2017,NA,4034119,0,10705
"Paraguay",10,2017,NA,6725308,NA,2626
"Peru",10,2017,NA,31773839,NA,24007
"Puerto Rico",10,2017,NA,3411307,0,78246
"St Barthelemy",10,2017,NA,9278,NA,8
"St Kitts-Nevis",10,2017,NA,54821,NA,2178
"St Lucia",10,2017,NA,178015,NA,1870
"St Maarten (Dutch Part)",10,2017,NA,40005,NA,1358
"St Vincent-Grenad",10,2017,NA,109643,NA,53
"Suriname",10,2017,NA,558368,NA,1362
"Trinidad-Tobago",10,2017,NA,1364962,NA,12156
"Turks-Caicos",10,2017,NA,34900,NA,3212
"Uruguay",10,2017,NA,3444006,NA,3968
"Venezuela",10,2017,NA,31568179,NA,27936
"Virgin Islands (GB)",10,2017,NA,30661,NA,191
"Virgin Islands (US)",10,2017,NA,102951,NA,5131
"Anguilla",11,2017,NA,15000,NA,41
"Antigua-Barbuda",11,2017,NA,100963,NA,1652
"Argentina",11,2017,NA,43847430,NA,45530
"Aruba",11,2017,NA,104822,NA,9167
"Bahamas",11,2017,NA,391232,NA,43789
"Barbados",11,2017,NA,284996,0,7340
"Belize",11,2017,NA,366954,NA,3398
"Bermuda",11,2017,NA,65331,NA,NA
"Bolivia",11,2017,NA,10887882,0,6274
"Bonaire, Saint Eustatius and Saba",11,2017,NA,25000,NA,71
"Brazil",11,2017,NA,207652865,NA,94991
"Canada",11,2017,NA,36286425,NA,NA
"Cayman Islands",11,2017,NA,60765,NA,12561
"Chile",11,2017,NA,17909754,NA,12359
"Colombia",11,2017,NA,48653419,NA,68584
"Costa Rica",11,2017,NA,4857274,0,25255
"Cuba",11,2017,NA,11475982,6,70972
"Curacao",11,2017,NA,159999,0,4128
"Dominica",11,2017,NA,73543,NA,86
"Dominican Rep",11,2017,NA,10648791,0,38412
"Ecuador",11,2017,NA,16385068,0,24961
"El Salvador",11,2017,NA,6344722,NA,649
"French Guiana",11,2017,NA,283000,NA,245
"Grenada",11,2017,NA,107317,NA,1618
"Guadeloupe",11,2017,NA,450000,NA,2086
"Guatemala",11,2017,NA,16582469,NA,12354
"Guyana",11,2017,NA,773303,NA,3358
"Haiti",11,2017,NA,10847334,0,23080
"Honduras",11,2017,NA,9112867,NA,11101
"Jamaica",11,2017,NA,2881355,0,33339
"Martinique",11,2017,NA,385000,NA,2000
"Mexico",11,2017,NA,127540423,0,90105
"Nicaragua",11,2017,NA,6149928,NA,11966
"Panama",11,2017,NA,4034119,0,10998
"Paraguay",11,2017,NA,6725308,NA,3218
"Peru",11,2017,NA,31773839,NA,24090
"Puerto Rico",11,2017,NA,3411307,0,64867
"St Barthelemy",11,2017,NA,9278,NA,NA
"St Kitts-Nevis",11,2017,NA,54821,NA,2830
"St Lucia",11,2017,NA,178015,NA,1976
"St Maarten (Dutch Part)",11,2017,NA,40005,NA,1971
"St Vincent-Grenad",11,2017,NA,109643,NA,11
"Suriname",11,2017,NA,558368,NA,1391
"Trinidad-Tobago",11,2017,NA,1364962,NA,12606
"Turks-Caicos",11,2017,NA,34900,NA,6250
"Uruguay",11,2017,NA,3444006,NA,4384
"Venezuela",11,2017,NA,31568179,NA,30828
"Virgin Islands (GB)",11,2017,NA,30661,NA,135
"Virgin Islands (US)",11,2017,NA,102951,NA,6139
"Anguilla",12,2017,NA,15000,NA,54
"Antigua-Barbuda",12,2017,NA,100963,NA,2300
"Argentina",12,2017,NA,43847430,NA,57656
"Aruba",12,2017,NA,104822,NA,12142
"Bahamas",12,2017,NA,391232,NA,51759
"Barbados",12,2017,NA,284996,0,7262
"Belize",12,2017,NA,366954,NA,3737
"Bermuda",12,2017,NA,65331,NA,NA
"Bolivia",12,2017,NA,10887882,0,6473
"Bonaire, Saint Eustatius and Saba",12,2017,NA,25000,NA,196
"Brazil",12,2017,NA,207652865,NA,145192
"Canada",12,2017,NA,36286425,NA,NA
"Cayman Islands",12,2017,NA,60765,NA,12547
"Chile",12,2017,NA,17909754,NA,14070
"Colombia",12,2017,NA,48653419,NA,84641
"Costa Rica",12,2017,NA,4857274,0,31031
"Cuba",12,2017,NA,11475982,6,54175
"Curacao",12,2017,NA,159999,0,4442
"Dominica",12,2017,NA,73543,NA,207
"Dominican Rep",12,2017,NA,10648791,0,41674
"Ecuador",12,2017,NA,16385068,0,19512
"El Salvador",12,2017,NA,6344722,NA,491
"French Guiana",12,2017,NA,283000,NA,168
"Grenada",12,2017,NA,107317,NA,2468
"Guadeloupe",12,2017,NA,450000,NA,2392
"Guatemala",12,2017,NA,16582469,NA,12131
"Guyana",12,2017,NA,773303,NA,3470
"Haiti",12,2017,NA,10847334,0,32031
