Mexico,"90,126","72,335","102,271","78,732","90,265","86,467","119,786","94,726","79,872","81,923","82,499","106,008","97,957","71,710","92,352","88,808","79,081","84,912",116393,93557,70833,"79,378","90,105","117,078"
Nicaragua,"17,351","11,743","13,583","11,716","11,902","13,424","15,647","15,284","11,337","10,002","10,554","13,118","15,481","9,692","10,759","12,648","10,917","12,905",15027,15728,10402,"10,533","11,966","13,938"
Panama,"16,336","15,099","13,269","10,527","10,337","10,973","12,032","11,100","11,153","13,598","12,514","11,485","13,044","14,038","10,347","10,322","9,229","9,802","11,674","11,945","9,689","10,705","10,998","12,671"
Paraguay,"4,251","2,747","2,573","3,025","2,908","3,392","4,270","2,928","3,124","2,879","2,873","3,051","3,856","2,689","2,917","5,016","2,853","3,396","5,879","4,543","3,442","2,626","3,218","4,477"
Peru,"24,487","26,987","24,400","23,046","27,686","23,744","28,903","23,466","23,273","24,832","20,988","21,607","22,820","21,449","19,822","18,743","23,214","21,067","28,485","24,964","18,815","24,007","24,090","23,199"
Puerto Rico,"70,854","69,998","86,893","84,641","102,070","120,156","120,634","99,379","78,229","92,195","98,276","75,301","102,290","80,084","98,410","96,969","109,015","126,717",104569,115842,111784,"78,246","64,867","77,017"
St Barthelemy,17,15,12,9,,10,19,7,5,7,,,8,2,9,,4,13,1,9,5,8,,12
St Kitts-Nevis,"2,912","1,771","2,707","2,478","1,909","2,151","2,764","3,425","1,688","1,726","2,072","2,761","2,794","1,848","1,975","2,369","1,689","1,979",2644,3251,1057,"2,178","2,830","2,996"
St Lucia,"1,945","1,532","1,907","1,564","1,897","1,698","2,273","2,042","1,518","1,447","1,932","1,783","2,135","1,598","1,964","2,056","2,081","2,042",2534,2298,1181,"1,870","1,976","1,903"
St Maarten (Dutch Part),"6,454","5,502","6,235","5,308","5,187","4,696","7,249","6,218","3,430","4,184","5,068","5,458","5,541","5,448","6,563","6,525","5,757","5,949",7745,6856,4611,"1,358","1,971","2,576"
St Vincent-Grenad,54,87,48,51,68,104,108,101,108,106,121,156,206,184,166,77,84,67,174,93,352,53,11,17
Suriname,"1,937","1,552","2,427","2,030","1,798","1,368","1,453","2,131","3,529","1,576","1,855","1,737","1,473","1,485","1,479","1,897","1,261","1,615","1,441","2,424","2,913","1,362","1,391","1,330"
Trinidad-Tobago,"10,234","13,479","12,938","11,612","13,476","12,839","15,562","16,063","11,106","12,259","14,507","15,743","11,333","10,650","14,333","14,517","12,990","13,049",15912,16089,8410,"12,156","12,606","13,296"
Turks-Caicos,"6,510","4,443","5,680","5,239","4,829","6,237","8,737","6,834","4,446","4,353","4,527","5,967","5,852","4,976","4,179","3,735","4,458","4,959",9294,8364,3108,"3,212","6,250","7,326"
Uruguay,"7,665","4,989","5,908","4,904","5,193","6,623","5,512","4,840","5,644","4,034","3,884","4,001","7,418","4,974","4,478","5,888","4,526","5,233","6,088","4,703","5,775","3,968","4,384","5,602"
Venezuela,"36,738","31,067","41,514","43,168","44,530","40,898","45,158","48,895","38,601","38,987","40,136","50,269","28,366","23,303","29,241","29,823","27,994","29,448",36701,36573,25354,"27,936","30,828","30,126"
Virgin Islands (GB),642,490,747,523,511,425,542,397,209,320,382,441,544,405,520,507,534,443,486,461,142,191,135,312
Virgin Islands (US),"9,500","10,876","11,567","11,419","12,801","12,879","12,879","12,034","9,412","10,799","11,507","9,515","10,400","9,504","11,604","11,799","12,477","12,534",12202,12748,10964,"5,131","6,139","7,858"
