Total travel volume,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
Month,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Anguilla,47,71,60,44,65,122,76,96,16,14,56,69,57,58,67,55,32,97,189,142,19,15,41,54
Antigua-Barbuda,"1,633","1,486","1,880","1,528","1,431","1,285","1,668","2,378","1,116","1,045","1,220","1,959","1,738","1,455","1,665","1,597","1,587","1,842",1736,2802,764,"1,360","1,652","2,300"
Argentina,"48,299","44,164","47,781","49,160","52,925","42,490","58,497","46,853","53,700","50,147","46,446","54,093","57,242","56,596","54,231","56,549","57,618","48,031","65,131","51,463","49,943","44,333","45,530","57,656"
Aruba,"9,345","7,100","8,521","6,962","6,603","6,701","9,873","10,024","8,827","7,608","7,208","10,842","9,384","7,948","9,253","9,763","9,334","9,105",14191,13048,9103,"9,213","9,167","12,142"
Bahamas,"39,714","31,570","44,564","45,968","46,190","48,298","60,307","60,139","35,259","39,713","42,877","58,249","43,907","38,612","49,676","51,346","56,962","56,707",75745,68343,34882,"35,630","43,789","51,759"
Barbados,"4,808","3,922","4,917","5,120","6,812","6,846","7,898","7,970","5,820","5,218","6,149","6,849","6,584","6,109","6,485","7,610","6,228","5,715",6225,7551,3955,"6,406","7,340","7,262"
Belize,"2,748","2,319","3,120","2,936","2,445","2,707","3,216","1,786","2,079","1,369","2,630","2,015","1,950","1,692","2,642","2,525","2,164","3,240","3,878","4,082","2,908","3,617","3,398","3,737"
Bermuda,"2,099","2,471","2,732","2,205","2,500","2,826","3,534","3,616","2,146","2,510","2,808","3,456",,,,,,,,,,,,
Bolivia,"7,790","5,743","5,916","6,897","7,224","7,199","6,781","6,928","6,116","6,294","7,067","6,923","7,267","5,836","6,042","6,343","5,621","7,279","5,963","6,258","4,997","5,649","6,274","6,473"
"Bonaire, Saint Eustatius and Saba",435,500,849,598,695,931,971,452,477,656,465,481,330,476,753,658,660,512,429,324,194,112,71,196
Brazil,"129,979","81,793","67,181","73,852","74,813","70,749","84,139","78,235","83,108","86,815","87,552","131,946","123,397","82,576","69,372","79,588","71,118","78,465",92255,83563,80505,"97,749","94,991","145,192"
Canada,"236,620","280,753","298,903","214,870","123,881","102,028","136,585","134,134","96,122","125,911","171,867","243,979",,,,,,,,,,,,
Cayman Islands,"10,434","8,994","10,087","11,486","9,049","8,806","13,115","12,185","7,654","9,137","10,506","12,730","8,883","8,697","9,843","10,836","11,332","12,721",15852,15322,9622,"12,219","12,561","12,547"
Chile,"19,570","20,520","14,349","14,550","15,837","12,746","17,663","13,668","18,343","15,964","13,816","16,006","18,240","20,128","14,213","12,055","13,338","12,327","17,610","12,163","13,436","13,469","12,359","14,070"
Colombia,"79,697","56,531","75,256","60,052","70,100","82,857","80,296","73,863","62,032","68,905","69,418","83,648","68,934","50,615","65,549","67,349","66,657","83,247",75110,77304,57700,"64,689","68,584","84,641"
Costa Rica,"31,580","21,125","25,810","21,481","21,822","21,974","27,227","23,582","21,353","20,399","22,379","29,812","30,295","19,216","26,488","22,987","20,488","19,810","23,606","22,548","19,089","19,948","25,255","31,031"
Cuba - IATA + charter,"53,459",30712,40724,37683,37201,30283,"48,932","48,735","50,213","57,251","66,722","142,537","100,269",70922,90562,91273,86340,80148,94104,95882,58829,70918,70972,54175
Curacao,"3,861","4,024","4,309","4,738","3,942","4,135","7,279","5,265","4,202","4,845","4,628","5,395","4,848","3,835","4,684","4,751","3,887","3,993",5861,4107,2807,"4,683","4,128","4,442"
Dominica,162,229,183,299,361,343,388,429,419,380,442,420,427,283,421,403,266,281,286,394,164,130,86,207
Dominican Rep,"40,178","29,626","36,565","33,703","37,573","48,350","58,448","52,463","32,657","31,210","34,319","40,834","42,273","33,464","42,385","39,815","38,298","47,337",56200,51823,32281,"38,459","38,412","41,674"
Ecuador,"19,819","29,524","32,982","29,246","22,753","17,894","26,197","30,285","25,314","28,486","25,599","20,928","17,382","26,005","32,549","28,489","20,209","17,479","21,865","30,372","26,539","25,319","24,961","19,512"
El Salvador,"4,627","3,195","4,357","3,032","4,285","3,902","5,029","4,729","4,236","4,250","4,324","4,943",267,111,722,240,473,578,146,307,1262,227,649,491
French Guiana,96,104,137,297,192,257,167,186,160,272,119,148,128,192,150,287,175,253,148,119,126,307,245,168
Grenada,"1,308","1,510","1,480","1,723","2,099","1,687","1,559","2,388","1,138","1,197","1,167","1,954","1,697","1,214","1,600","1,563","2,062","1,469",1408,2118,1204,"1,817","1,618","2,468"
Guadeloupe,416,567,566,798,357,544,"1,178",705,156,367,428,"1,205",1258,1590,1740,2415,476,567,1367,871,218,844,"2,086","2,392"
Guatemala,"9,889","7,581","9,872","8,550","9,815","10,955","9,608","8,578","8,178","9,683","12,112","12,799","9,081","6,797","8,135","9,721","7,853","10,710",9988,8860,6235,"9,674","12,354","12,131"
Guyana,"3,287","2,602","3,367","3,472","3,324","4,269","4,760","4,389","3,048","3,090","3,195","3,294","3,411","2,713","3,453","4,203","3,437","3,275",4646,4757,2450,"3,045","3,358","3,470"
Haiti,"23,065","17,419","26,286","26,087","24,319","27,381","37,924","41,048","26,970","24,580","23,730","24,981","28,516","21,974","24,453","26,676","25,121","25,422",34151,36523,21644,"23,670","23,080","32,031"
Honduras,"12,739","9,211","10,869","9,644","11,387","13,340","14,838","12,673","10,574","10,736","9,669","12,567","10,803","8,432","10,186","12,178","10,894","12,940","14,463","12,961","10,390","10,987","11,101","13,003"
Jamaica,"29,741","24,050","33,259","29,903","34,223","34,745","48,190","42,412","26,963","29,090","31,447","32,853","33,636","25,424","33,762","36,163","33,788","36,866",49250,45427,24927,"29,988","33,339","35,823"
Martinique,750,566,756,447,414,931,"1,353","1,151",239,778,536,"1,170",582,620,455,504,590,297,1511,767,239,677,"2,000","2,409"
