"lwr","upr","median"
0,0,0
0,0,0
0,0,0
0,5.09751629978423e-06,0
0,2.84932593623913,0
0,1.97222736371075,0
0,2.83589727416086,2.02074820616194e-13
0,3.73210041074396,2.58276845291135e-07
0,3.93136390850953,0.000883906225216101
1.52725362515374e-14,4.04559837437211,0.0780831222718685
1.2207662480963e-13,4.04504521150848,0.354017120659387
3.10703898904691e-13,3.74669326188571,0.171497228516621
3.59091440357766e-14,3.31424045162949,0.0200334724308438
0,3.33523641885493,0.00531712120277969
0,3.56412339021799,0.00429646074782023
2.8447660263322e-16,3.72257832758991,0.0266310915316944
1.47556880698571e-11,3.74038573354507,0.305621914061303
2.61072598227075e-06,3.9703648800942,1.48315796712999
0.0322368575193156,4.29080615216558,2.69731012368777
0.925496456308701,4.57225995383458,3.42375218234916
0.613309295121892,4.64302975333048,3.29380356397006
0.00197610426943002,4.44949680046662,2.52960394507842
4.83228466093518e-07,4.04799522812015,1.21580893481512
0,4.49263164299678,0.516069394730998
