"lwr","upr","median"
0,0,0
0,0,0
0,0,0
0,0,0
0,3.11658510660045e-10,0
0,3.08951643461542e-10,0
0,6.73939910350112e-06,2.02074820616194e-13
3.37514613293649e-15,0.0478841507774485,2.58276845291135e-07
7.65384102185582e-09,0.857360452735552,0.000883906225216101
1.51034780703751e-05,1.50322774086403,0.0780831222718685
0.000490843234479777,2.07542911254095,0.354017120659387
0.000301537195922017,1.73713823400095,0.171497228516621
2.68019061404077e-05,1.10310213074128,0.0200334724308438
1.76474191726338e-06,0.80125551597134,0.00531712120277969
1.00302606205018e-06,0.973697293205426,0.00429646074782023
1.21603898019627e-05,1.42001232588715,0.0266310915316944
0.0013701682919763,1.99883761752437,0.305621914061303
0.280610017582665,2.60302414922137,1.48315796712999
1.81206424203916,3.41410980154406,2.69731012368777
2.8226123478679,3.9262349056951,3.42375218234916
2.46848691144416,3.87524112666685,3.29380356397006
1.36650598915462,3.42157886415879,2.52960394507842
0.0923411163462719,2.49991680007065,1.21580893481512
0.000100595177372826,2.54292318641641,0.516069394730998
